"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
1052;"이웃집 길드원";"#판타지#로맨스";"https://www.lezhin.com/ko/comic/neighbor_bf";0;1;1;"https://ccdn.lezhin.com/v2/comics/6313950063689728/images/wide.webp?updated=1692693039892&width=554 2x";2;0
1053;"소꿉친구가 자꾸 괴롭혀!";"#로맨스#학원#코미디/일상";"https://www.lezhin.com/ko/comic/nuri";0;1;1;"https://ccdn.lezhin.com/v2/comics/5015838139940864/images/wide.webp?updated=1688122918249&width=554 2x";2;0
1054;"안녕, 나의 폐하";"#판타지#로맨스";"https://www.lezhin.com/ko/comic/hello_majesty";0;1;1;"https://ccdn.lezhin.com/v2/comics/4804072098824192/images/wide.webp?updated=1698751466470&width=554 2x";2;0
1055;"타치바나 백작";"#판타지#로맨스#드라마#스릴러";"https://www.lezhin.com/ko/comic/tachibanabl";0;1;1;"https://ccdn.lezhin.com/v2/comics/5878601020145664/images/wide.webp?updated=1695273785440&width=554 2x";2;0
1056;"광안 [개정판]";"#판타지#로맨스";"https://www.lezhin.com/ko/comic/madeye_15";0;1;1;"https://ccdn.lezhin.com/v2/comics/6405062063357952/images/wide.webp?updated=1691058569374&width=554 2x";2;0
1057;"포인트 슈팅";"#로맨스";"https://www.lezhin.com/ko/comic/point_shooting";0;0;1;"https://ccdn.lezhin.com/v2/comics/5829925558091776/images/wide.webp?updated=1667307358666&width=554 2x";2;0
1058;"니 친구 김저키";"#코미디/일상";"https://www.lezhin.com/ko/comic/kimjerky";0;0;1;"https://ccdn.lezhin.com/v2/comics/5118126189576192/images/wide.webp?updated=1660274184539&width=554 2x";2;0
1059;"단금지교";"#판타지#로맨스";"https://www.lezhin.com/ko/comic/dangeum_jigyo";0;0;1;"https://ccdn.lezhin.com/v2/comics/5778995370655744/images/wide.webp?updated=1679481955283&width=554 2x";2;0
1060;"살맛 : 전생에 나라를 구했습니다[개정판]";"#로맨스#드라마";"https://www.lezhin.com/ko/comic/salmat_15";0;0;1;"https://ccdn.lezhin.com/v2/comics/5420909429325824/images/wide.webp?updated=1620722669455&width=554 2x";2;0
1061;"보지 마, 안 괜찮아, 불법이야!";"#코미디/일상";"https://www.lezhin.com/ko/comic/noway";0;0;1;"https://ccdn.lezhin.com/v2/comics/6148158160961536/images/wide.webp?updated=1651029720976&width=554 2x";2;0
1062;"골든아워";"#드라마";"https://www.lezhin.com/ko/comic/the_golden_hour";0;1;1;"https://ccdn.lezhin.com/v2/comics/6262255336620032/images/wide.webp?updated=1691058419137&width=554 2x";2;0
1063;"주인의 사정[개정판]";"#로맨스#학원";"https://www.lezhin.com/ko/comic/jooin_15";0;0;1;"https://ccdn.lezhin.com/v2/comics/5669970438848512/images/wide.webp?updated=1622447561600&width=554 2x";2;0
1064;"프로젝트 T";"#판타지#드라마#학원";"https://www.lezhin.com/ko/comic/project_t";0;0;1;"https://ccdn.lezhin.com/v2/comics/6712003367600128/images/wide.webp?updated=1691058599512&width=554 2x";2;0
1065;"매운맛 커플";"#로맨스#코미디/일상";"https://www.lezhin.com/ko/comic/hotcouple";0;0;1;"https://ccdn.lezhin.com/v2/comics/5758960471965696/images/wide.webp?updated=1690957311375&width=554 2x";2;0
1066;"하프 오브 미";"#로맨스#학원#코미디/일상";"https://www.lezhin.com/ko/comic/half_of_me";0;1;1;"https://ccdn.lezhin.com/v2/comics/5367505697964032/images/wide.webp?updated=1691112535145&width=554 2x";2;0
1067;"히어로즈 플랜비";"#액션#판타지#드라마";"https://www.lezhin.com/ko/comic/planb";0;0;1;"https://ccdn.lezhin.com/v2/comics/312/images/wide.webp?updated=1657095700803&width=554 2x";2;0
1068;"낙제점짜리 사랑";"#로맨스#학원";"https://www.lezhin.com/ko/comic/failedlove";0;1;1;"https://ccdn.lezhin.com/v2/comics/5537860173496320/images/wide.webp?updated=1688522934370&width=554 2x";2;0
1069;"집에 가는 길에 USB를 주웠다";"#로맨스#코미디/일상";"https://www.lezhin.com/ko/comic/i_picked_up_a_usb_on_my_way_home";0;1;1;"https://ccdn.lezhin.com/v2/comics/5457904475111424/images/wide.webp?updated=1691058442776&width=554 2x";2;0
1070;"모더니스트";"#로맨스";"https://www.lezhin.com/ko/comic/modernist";0;1;1;"https://ccdn.lezhin.com/v2/comics/5791422568267776/images/wide.webp?updated=1692787445469&width=554 2x";2;0
1071;"연애경험없는 여기사에게 들이대 보았다";"#판타지#로맨스#코미디/일상";"https://www.lezhin.com/ko/comic/femaleknight";0;1;1;"https://ccdn.lezhin.com/v2/comics/4506351437676544/images/wide.webp?updated=1688124112647&width=554 2x";2;0
1072;"A와 B의 초상";"#로맨스#학원";"https://www.lezhin.com/ko/comic/portrait";0;0;1;"https://ccdn.lezhin.com/v2/comics/6735413248917504/images/wide.webp?updated=1630634675848&width=554 2x";2;0
1073;"친하게 지내자";"#코미디/일상";"https://www.lezhin.com/ko/comic/together";0;0;1;"https://ccdn.lezhin.com/v2/comics/4807559635271680/images/wide.webp?updated=1626417745647&width=554 2x";2;0
1074;"금요정의 금요극장";"#코미디/일상";"https://www.lezhin.com/ko/comic/goldpixinema";0;0;1;"https://ccdn.lezhin.com/v2/comics/5376382661361664/images/wide.webp?updated=1654570205989&width=554 2x";2;0
1075;"블랙보이";"#판타지";"https://www.lezhin.com/ko/comic/blackboy";0;0;1;"https://ccdn.lezhin.com/v2/comics/235/images/wide.webp?updated=1533904309733&width=554 2x";2;0
1076;"삼국지 가후전 R";"#판타지#드라마";"https://www.lezhin.com/ko/comic/gahu_r";0;0;1;"https://ccdn.lezhin.com/v2/comics/4609020734078976/images/wide.webp?updated=1565590876343&width=554 2x";2;0
1077;"연애는 사치!";"#로맨스#드라마#학원";"https://www.lezhin.com/ko/comic/love_luxury";0;1;1;"https://ccdn.lezhin.com/v2/comics/5705413614698496/images/wide.webp?updated=1696492695875&width=554 2x";2;0
1078;"마들레느가 9번지";"#드라마#코미디/일상";"https://www.lezhin.com/ko/comic/m_street_no9";0;0;1;"https://ccdn.lezhin.com/v2/comics/6/images/wide.webp?updated=1643265816537&width=554 2x";2;0
1079;"글라스 러버스";"#판타지#로맨스#드라마#학원";"https://www.lezhin.com/ko/comic/glassesl";0;0;1;"https://ccdn.lezhin.com/v2/comics/5716170964795392/images/wide.webp?updated=1665112229470&width=554 2x";2;0
1080;"다피만화";"#코미디/일상";"https://www.lezhin.com/ko/comic/dapeemanhwa";0;0;1;"https://ccdn.lezhin.com/v2/comics/6514387950305280/images/wide.webp?updated=1660802813490&width=554 2x";2;0
1081;"칼날왕관";"#액션#판타지";"https://www.lezhin.com/ko/comic/crown";0;1;1;"https://ccdn.lezhin.com/v2/comics/5396168807612416/images/wide.webp?updated=1692359543173&width=554 2x";2;0
1082;"오늘은 나랑 만나";"#로맨스";"https://comic.naver.com/webtoon/list?titleId=817081";1;1;1;"https://image-comic.pstatic.net/webtoon/event/thumbnail/99/817081_20231016193208.jpg";1;0
